,accuracy,precision,recall,f1_score,roc_auc,pr_auc,eval_time
linear,0.5218035563082134,0.45120967741935486,0.1272458494428019,0.19850984566258648,0.19822578293626975,0.3598829425692093,4.678420305252075
dnn,0.2932895850973751,0.34115925874320746,0.5568569479190357,0.42310350786245027,0.42254837590846733,0.511218441732624,4.063981294631958
lstm,0.5100571670548381,0.45787781350482315,0.326156665139716,0.38095238095238093,0.47465767599308906,0.46600896715842854,6.276601791381836
gru,0.5489095913614228,0.5098259404828748,0.6239120476408612,0.5611288495210629,0.5746363272387561,0.5351151115133512,5.541463851928711
transformer,0.4696167690027525,0.4302426343154246,0.4548786074209803,0.4422177688710754,0.4592478881190012,0.4387552346063473,3.3456871509552
